Rock & Roll,Eric Hutchinson
The Climb (Non-Film Version),Miley Cyrus
God's Plan,Drake
No Guidance (feat. Drake),Chris Brown
One Dance (feat. Wizkid & Kyla),Drake
POPSTAR (feat. Drake),DJ Khaled
Best I Ever Had,Drake
Despacito (feat. Justin Bieber) [Remix],Luis Fonsi & Daddy Yankee
I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne),DJ Khaled
STAY,The Kid LAROI & Justin Bieber
10,000 Hours,Dan + Shay & Justin Bieber
Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber
I Don't Care,Ed Sheeran & Justin Bieber
Cold Water (feat. Justin Bieber & MØ),Major Lazer
Let Me Love You (feat. Justin Bieber),DJ Snake
Stuck with U,Ariana Grande & Justin Bieber
Holy (feat. Chance the Rapper),Justin Bieber
Lonely,Justin Bieber & benny blanco
Ghost,Justin Bieber
Sorry,Justin Bieber
Hold On,Justin Bieber
No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo),DJ Khaled
Love Yourself,Justin Bieber
What Do You Mean?,Justin Bieber
That Should Be Me,Justin Bieber
One Time,Justin Bieber
Mood (Remix),24kGoldn, Justin Bieber, J Balvin & iann dior
Off My Face,Justin Bieber
Lifetime,Justin Bieber
Beautiful Crazy,Luke Combs
Forever After All,Luke Combs
She Got the Best of Me,Luke Combs
Better Together,Luke Combs
Hurricane,Luke Combs
One Number Away,Luke Combs
Beer Never Broke My Heart,Luke Combs
Even Though I'm Leaving,Luke Combs
Lovin' on You,Luke Combs
Does to Me (feat. Eric Church),Luke Combs
Wasted On You,Morgan Wallen
Whiskey Glasses,Morgan Wallen
Chasin' You,Morgan Wallen
7 Summers,Morgan Wallen
More Than My Hometown,Morgan Wallen
Heartless (Wallen Album Mix),Morgan Wallen
Up Down (feat. Florida Georgia Line),Morgan Wallen
Die From A Broken Heart,Maddie & Tae
Woman You Got,Maddie & Tae
Die From A Broken Heart (Acoustic),Maddie & Tae
Tequila,Dan + Shay
I Should Probably Go To Bed,Dan + Shay
Glad You Exist,Dan + Shay
Steal My Love,Dan + Shay
Vida de Rico,Camilo
Tutu,Camilo & Pedro Capó
Tattoo (Remix with Camilo),Rauw Alejandro & Camilo
BEBÉ,Camilo & El Alfa
Favorito,Camilo
Millones,Camilo
Machu Picchu,Camilo & Evaluna Montaner
No Te Vayas,Camilo
La Boca,Mau y Ricky & Camilo
All I Wanna Do,Jay Park
All I Wanna Do (Korean Version) [feat. Hoody & Loco],Jay Park
DRIVE (feat. Gray),Jay Park
Me Like Yuh,Jay Park
Solo (feat. Hoody),Jay Park
Yacht (feat. Vic Mensa),Jay Park
Iffy,Sik-K, pH-1, Jay Park & GroovyRoom
Aquaman,Jay Park
My Last (feat. Loco & Gray),Jay Park
All the Way Up (K),Jay Park
All the Way Up,Jay Park
Location,Khalid
Young Dumb & Broke,Khalid
Talk,Khalid
Love Lies,Khalid & Normani
Otra Noche Sin Ti (Mixed),J Balvin & Khalid
Eastside,benny blanco, Halsey & Khalid
Saturday Nights,Khalid
Be Like That,Kane Brown, Swae Lee, Khalid
Right Back (feat. A Boogie wit da Hoodie),Khalid
Blinding Lights,The Weeknd
Save Your Tears,The Weeknd
Can't Feel My Face,The Weeknd
Hawái (Remix),Maluma & The Weeknd
Hawái,Maluma
Glimpse of Us,Joji
working,Tate McRae X Khalid
Miss Independent,Ne-Yo
So Sick,Ne-Yo
Sexy Love,Ne-Yo
She Got Her Own (feat. Jamie Foxx & Fabolous) [Bonus Track],Ne-Yo
Like You (feat. Ciara),Bow Wow
Shortie Like Mine ( feat. Chris Brown and Johntá Austin),Bow Wow
Outta My System (feat. Johntá Austin & T-Pain),Bow Wow featuring T-Pain & Johntá Austin
Let Me Hold You (Featuring Omarion),Bow Wow featuring Omarion
Go Crazy,Chris Brown & Young Thug
Deuces (feat. Tyga & Kevin McCall),Chris Brown
Yo (Excuse Me Miss),Chris Brown
Say Goodbye,Chris Brown
Loyal (feat. Lil Wayne & Tyga),Chris Brown
Freaky Friday (feat. Chris Brown),Lil Dicky
Best Love Song (feat. Chris Brown),T-Pain
Buy U A Drank (Shawty Snappin') [feat. Kanye West] [Remix],T-Pain
I'm Sprung,T-Pain
Can't Believe It (feat. Lil Wayne),T-Pain
It's All Coming Back to Me Now,Céline Dion
My Heart Will Go On (Love Theme from "Titanic"),James Horner & Céline Dion
All By Myself,Céline Dion
That's the Way It Is,Céline Dion
Beauty and the Beast,Céline Dion & Peabo Bryson
How Does a Moment Last Forever,Céline Dion
Can't Help Falling In Love,Elvis Presley
Can't Help Falling in Love,Haley Reinhart
Can't Help Falling in Love,Kina Grannis
Can't Help Falling In Love,Pentatonix
Despacito x Shape Of You,Pentatonix
Royals,Pentatonix
Stay,Pentatonix
Somebody That I Used to Know,Pentatonix
Blinding Lights,Pentatonix
Can You Feel the Love Tonight,Pentatonix
Thank God,Kane Brown & Katelyn Brown
Love Me Like You Do (From "Fifty Shades of Grey"),Ellie Goulding
I Like Me Better,Lauv
Paris in the Rain,Lauv
There's No Way (feat. Julia Michaels),Lauv
f**k, i'm lonely (feat. Anne-Marie),Lauv
Somebody Like That,Tenille Arts
Bucket List,Mitchell Tenpenny
Meant to Be,Bebe Rexha & Florida Georgia Line
Baby, I'm Jealous (feat. Doja Cat),Bebe Rexha
Sabotage,Bebe Rexha
Perfect,Ed Sheeran
Thinking Out Loud,Ed Sheeran
Shape of You,Ed Sheeran
Photograph,Ed Sheeran
Beautiful People (feat. Khalid),Ed Sheeran
The A Team,Ed Sheeran
Galway Girl,Ed Sheeran
Lego House,Ed Sheeran
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran
A Thousand Miles,Vanessa Carlton
I'm Yours,Jason Mraz
Better,Khalid
Dilemma (feat. Kelly Rowland),Nelly
Haven't Met You Yet,Michael Bublé
Lucky,Jason Mraz & Colbie Caillat
Boo'd Up,Ella Mai
I Will Always Love You,Whitney Houston
At My Worst (feat. Kehlani),Pink Sweat$
At My Worst,Pink Sweat$
Una Lady Como Tú,Manuel Turizo
1, 2, 3 (feat. De La Ghetto & Jason Derulo),Sofía Reyes
Whatcha Say,Jason Derulo
Trumpets,Jason Derulo
Marry Me,Jason Derulo
Levitating (feat. DaBaby),Dua Lipa
Pretty Please,Dua Lipa
Wellerman (Sea Shanty),Nathan Evans
Beauty and the Beast,Ariana Grande & John Legend
Something There,Emma Watson, Dan Stevens, Ewan McGregor, Ian McKellen, Emma Thompson, Nathan Mack & Gugu Mbatha-Raw
A Whole New World (Soundtrack Version),Lea Salonga & Brad Kane
Reflection,Lea Salonga
A Whole New World,Mena Massoud & Naomi Scott
A Whole New World (End Title),ZAYN & Zhavia
You'll Be In My Heart,Phil Collins
Venom (Music from the Motion Picture),Eminem
You Proof,Morgan Wallen
Die For You,The Weeknd
I Like You (A Happier Song) [feat. Doja Cat],Post Malone
Kiss Me More (feat. SZA),Doja Cat
Best Friend (feat. Doja Cat),Saweetie
Baby It's You,JoJo
I Want It That Way,Backstreet Boys
Beautiful Girls,Sean Kingston
Tide Is High (Get the Feeling),Atomic Kitten
Eternal Flame,Atomic Kitten
Complicated,Avril Lavigne
What the Hell,Avril Lavigne
Here's to Never Growing Up,Avril Lavigne
Sk8er Boi,Avril Lavigne
We Belong Together,Mariah Carey
Fallin' for You,Colbie Caillat
I Need a Girl, Pt. 2 [feat. Loon, Ginuwine & Mario Winans],P. Diddy
Fidelity,Regina Spektor
Unwritten,Natasha Bedingfield
Love Like This (feat. Sean Kingston),Natasha Bedingfield
Empire State of Mind (feat. Alicia Keys),JAY-Z
This Love,Maroon 5
Breakaway,Kelly Clarkson
Hey, Soul Sister (Country Mix),Train
My Love (feat. T.I.) [Single Version],Justin Timberlake
Misery Business,Paramore
Yeah! (feat. Lil Jon & Ludacris),Usher
My Boo,Usher & Alicia Keys
Burn (Confessions Special Edition Version),Usher
Confessions, Pt. II (Confessions Special Edition Version),Usher
Hey Daddy (Daddy's Home) [feat. Plies],Usher
Love in This Club, Pt. II (feat. Beyoncé & Lil Wayne),Usher
I Don't Mind (feat. Juicy J),Usher
There Goes My Baby,Usher
Whatever You Like,T.I.
Dead and Gone (feat. Justin Timberlake),T.I.
U Don't Know Me,T.I.
Let Me Love You,Mario
Realize,Colbie Caillat
Drop It Like It's Hot (feat. Pharrell Williams),Snoop Dogg
Young, Wild & Free (feat. Bruno Mars),Snoop Dogg & Wiz Khalifa
All the Right Moves,OneRepublic
Hero,Enrique Iglesias
Hero,Mariah Carey
Leavin',Jesse McCartney
Beautiful Soul,Jesse McCartney
Body Language (feat. T-Pain),Jesse McCartney
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe
Lollipop (feat. Static Major),Lil Wayne
Hey There Delilah,Plain White T's
Stickwitu,The Pussycat Dolls
Knock You Down (feat. Kanye West & Ne-Yo),Keri Hilson
Bad Day,Daniel Powter
Because of You,Ne-Yo
Mo Money Mo Problems (feat. Ma$e & Puff Daddy),The Notorious B.I.G.
Stay With Me,Sam Smith
Too Good at Goodbyes,Sam Smith
Dancing With A Stranger,Sam Smith & Normani
hate myself,Tate McRae
Older,Sasha Alex Sloan
Dancing With Your Ghost,Sasha Alex Sloan
when was it over? (feat. Sam Hunt),Sasha Alex Sloan
Lie,Sasha Alex Sloan
Smiling When I Die,Sasha Alex Sloan
House with No Mirrors,Sasha Alex Sloan
Thank God,Sasha Alex Sloan
Version of Me,Sasha Alex Sloan
Habits (Stay High),Tove Lo
Talking Body,Tove Lo
Close (feat. Tove Lo),Nick Jonas
Heat Waves,Glass Animals
I'll Be Missing You,Puff Daddy & Faith Evans
Ice Cream,BLACKPINK & Selena Gomez
Lifestyle (feat. Young Thug & Rich Homie Quan),Rich Gang
Type of Way,Rich Homie Quan
Astronaut In The Ocean,Masked Wolf
See You Again (feat. Charlie Puth),Wiz Khalifa
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
The Bones,Maren Morris
Thinkin Bout You,Frank Ocean
A Milli,Lil Wayne
What You Know,T.I.
Pop, Lock & Drop It (feat. Bow Wow & T-Pain) [Remix Version],Huey featuring Bow Wow & T-Pain
Freek-A-Leek,Petey Pablo
The Next Episode (feat. Snoop Dogg),Dr. Dre
Icy,Gucci Mane
Make Me Better (feat. Ne-Yo),Fabolous
Throw It In the Bag (feat. The-Dream),Fabolous
Right Thurr,Chingy
Shoulder Lean (Featuring T.I.),Young Dro
Independent (feat. Lil' Boosie and Lil' Phat),Webbie
Vans,The Pack
Lean Wit It, Rock Wit It,Dem Franchize Boyz featuring Peanut & Charlay
Hood N****,Gorilla Zoe
Since U Been Gone,Kelly Clarkson
Promiscuous (feat. Timbaland),Nelly Furtado
Beautiful,Christina Aguilera
With You,Chris Brown
If I Ain't Got You,Alicia Keys
Cater 2 U,Destiny's Child
U Got It Bad,Usher
Differences,Ginuwine
No One,Alicia Keys
Bartender (feat. Akon),T-Pain
Cupid's Chokehold / Breakfast in America (Radio Mix) [feat. Patrick Stump],Gym Class Heroes featuring Patrick Stump
Put Your Records On,Corinne Bailey Rae
Be Without You (Kendu Mix),Mary J. Blige
It Wasn't Me (feat. Ricardo Ducent),Shaggy
Don't Matter,Akon
You're Beautiful,James Blunt
